task,model_0,model_1,model_2,rule_0,rule_1,rule_2,valid_rollouts,novel_rollouts,pooled_rollout_index,pooled_candidate_id,pooled_preliminary_ratio,pooled_default_ms,pooled_selected_ms,pooled_speedup,oracle_speedup
job-01a,7.212302434856898,7.220233139050791,1.0,7.212302434856898,7.220233139050791,1.0,2,2,1,candidate-01,7.5740818910932886,17.343,2.402,7.220233139050791,7.220233139050791
job-01b,109.56050955414013,106.48765432098766,106.91025641025641,109.56050955414013,106.48765432098766,106.91025641025641,3,3,0,candidate-04,117.77564102564104,17.201,0.157,109.56050955414013,109.56050955414013
job-01c,9.371533228676086,9.687219730941704,9.42322300596853,9.371533228676086,9.687219730941704,9.42322300596853,3,3,2,candidate-01,9.62869425040301,17.367,1.843,9.42322300596853,9.687219730941704
job-01d,1.0,90.1595744680851,1.0,1.0,90.1595744680851,1.0,1,1,1,candidate-01,94.81502890173411,16.95,0.188,90.1595744680851,90.1595744680851
job-02a,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,default,1.0,178.015,178.015,1.0,1.0
job-02b,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,169.478,169.478,1.0,1.0
job-02c,1.0,1.0,23.898107714701602,1.0,1.0,23.898107714701602,3,3,2,candidate-01,23.415384615384617,164.18,6.87,23.898107714701602,23.898107714701602
job-02d,0.9965171644219181,1.0263348544009032,0.14128242185135848,1.0,1.0,1.0,3,3,0,default,1.0,219.513,219.513,1.0,1.0
job-03a,1.5096531504121258,1.4656545961002785,1.504051184622262,1.5096531504121258,1.4656545961002785,1.504051184622262,3,3,0,candidate-01,1.5113931111421004,54.58,36.154,1.5096531504121258,1.5096531504121258
job-03b,1.4925745468719547,1.0238353482712097,1.0,1.4925745468719547,1.0,1.0,2,2,0,candidate-01,1.4335982685921116,38.292,25.655,1.4925745468719547,1.4925745468719547
job-03c,1.4099057606462126,1.0163998336625428,1.0,1.4099057606462126,1.0163998336625428,1.0,2,2,0,candidate-04,1.4073494917904614,99.49,70.565,1.4099057606462126,1.4099057606462126
job-04a,1.6109648762030104,1.3096335599403082,1.0,1.6109648762030104,1.3096335599403082,1.0,3,3,0,candidate-01,1.604083316147659,39.169,24.314,1.6109648762030104,1.6109648762030104
job-04b,1.7294266976940977,1.0,1.0527116066903193,1.7294266976940977,1.0,1.0527116066903193,3,3,0,candidate-05,1.7037156012421029,32.7,18.908,1.7294266976940977,1.7294266976940977
job-04c,1.0,1.385317611259034,0.9930191577805891,1.0,1.385317611259034,1.0,3,3,1,candidate-04,1.36402740162498,43.704,31.548,1.385317611259034,1.385317611259034
job-05a,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,default,1.0,41.515,41.515,1.0,1.0
job-05b,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,default,1.0,40.635,40.635,1.0,1.0
job-05c,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,default,1.0,53.848,53.848,1.0,1.0
job-06a,1.0,1.5693957968476357,1.5202825888787603,1.0,1.5693957968476357,1.5202825888787603,3,3,1,candidate-03,1.5861840653277424,7.169,4.568,1.5693957968476357,1.5693957968476357
job-06b,1.0847386393485685,1.0,1.0,1.0847386393485685,1.0,1.0,3,3,0,candidate-01,1.1262785893830418,82.592,76.14,1.0847386393485685,1.0847386393485685
job-06c,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,3.379,3.379,1.0,1.0
job-06d,19.693276138301723,20.039727108705456,1.013162042512081,19.693276138301723,20.039727108705456,1.0,3,3,1,candidate-04,19.86505248144764,1777.123,88.68,20.039727108705456,20.039727108705456
job-06e,1.0081412825651301,0.6106411398040961,1.0,1.0,1.0,1.0,3,3,0,default,1.0,8.066,8.066,1.0,1.0
job-06f,1.0771463375519077,2.200949642363611,1.0,1.0771463375519077,2.200949642363611,1.4353227525815173,3,3,1,candidate-01,2.142874653491486,1556.078,707.003,2.200949642363611,2.200949642363611
job-07a,4.803224370703724,4.8686910704381585,1.3148494513726285,4.803224370703724,4.8686910704381585,1.3148494513726285,3,3,0,candidate-05,4.729678015307469,291.378,60.663,4.803224370703724,4.8686910704381585
job-07b,1.7055804773012742,1.0,1.0,1.7055804773012742,1.0,1.0,3,2,0,candidate-04,1.4289146134558506,95.052,55.73,1.7055804773012742,1.7055804773012742
job-07c,1.192315752031319,1.0,2.486345344311774,1.192315752031319,1.0,2.486345344311774,3,3,2,candidate-02,2.48015437687519,1126.941,453.252,2.486345344311774,2.486345344311774
job-08a,3.496063487404208,3.006214054339922,1.0,3.496063487404208,3.006214054339922,1.0,3,3,0,candidate-04,3.151322299181434,333.486,95.389,3.496063487404208,3.496063487404208
job-08b,1.0,1.0,1.049588926006681,1.0,1.0,1.049588926006681,3,3,2,candidate-05,1.0550099816498961,52.47,49.991,1.049588926006681,1.049588926006681
job-08c,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,default,1.0,1030.064,1030.064,1.0,1.0
job-08d,1.0,0.9666544823395845,1.0,1.0,1.0,1.0,3,3,0,default,1.0,399.116,399.116,1.0,1.0
job-09a,1.0,1.0,1.0178588516746412,1.0,1.0,1.0178588516746412,3,3,2,candidate-02,1.0517818323929558,85.093,83.6,1.0178588516746412,1.0178588516746412
job-09b,0.9903002820328485,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,92.819,92.819,1.0,1.0
job-09c,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,138.541,138.541,1.0,1.0
job-09d,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,1234.206,1234.206,1.0,1.0
job-10a,0.9948069519195375,1.1112667442640416,1.4318500675013897,1.0,1.1112667442640416,1.4318500675013897,3,3,2,candidate-03,1.4239123293431273,108.182,75.554,1.4318500675013897,1.4318500675013897
job-10b,1.377668159808491,1.4647218745954345,1.8314583429388167,1.377668159808491,1.4647218745954345,1.8314583429388167,3,3,2,candidate-02,1.8487945428128154,79.445,43.378,1.8314583429388167,1.8314583429388167
job-10c,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,720.335,720.335,1.0,1.0
job-11a,0.9558078072873792,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,23.658,23.658,1.0,1.0
job-11b,1.0,1.0,1.3148068669527897,1.0,1.1005217391304347,1.3148068669527897,3,3,2,candidate-02,1.3101581421854964,18.381,13.98,1.3148068669527897,1.3148068669527897
job-11c,1.0,1.0,6.458959818999341,1.0,1.0,6.458959818999341,3,2,2,candidate-03,6.520848942424068,451.055,69.834,6.458959818999341,6.458959818999341
job-11d,1.1989400813516895,1.0,1.213586365284661,1.1989400813516895,1.0,1.213586365284661,3,3,2,candidate-03,1.2866795756182177,60.24,49.638,1.213586365284661,1.213586365284661
job-12a,1.0,1.306151345638019,1.1749346470943094,1.0,1.306151345638019,1.1749346470943094,3,3,1,candidate-02,1.313770936716885,130.99,100.287,1.306151345638019,1.306151345638019
job-12b,49.6271186440678,35.3273381294964,35.5979381443299,49.6271186440678,35.3273381294964,35.5979381443299,3,3,0,candidate-01,51.60858585858586,20.496,0.413,49.6271186440678,49.6271186440678
job-12c,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,default,1.0,196.029,196.029,1.0,1.0
job-13a,1.0,1.0,2.549375716733884,1.3193446861859117,1.0,2.549375716733884,3,3,2,candidate-05,2.543916862614445,395.709,155.218,2.549375716733884,2.549375716733884
job-13b,1.6543215077044913,2.47056773743918,2.294426773613608,1.6543215077044913,2.47056773743918,2.294426773613608,3,3,1,candidate-01,2.477295022717885,191.427,77.483,2.47056773743918,2.47056773743918
job-13c,1.892248022454708,3.2543802503000174,2.331833534829808,1.892248022454708,3.2543802503000174,2.331833534829808,3,3,1,candidate-05,3.237397959183674,189.828,58.33,3.2543802503000174,3.2543802503000174
job-13d,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,584.727,584.727,1.0,1.0
job-14a,0.9992804831042015,1.5268613549691588,1.0,0.9992804831042015,1.5268613549691588,1.0,3,3,1,candidate-03,1.5321335446597473,119.312,78.142,1.5268613549691588,1.5268613549691588
job-14b,1.080331453561975,1.1434317371177052,1.0522308456247471,1.080331453561975,1.1434317371177052,1.0522308456247471,3,3,1,candidate-04,1.1592039800995027,60.268,52.708,1.1434317371177052,1.1434317371177052
job-14c,1.1720178296083066,1.0,1.0,1.1720178296083066,1.0,1.0,2,2,0,candidate-02,1.1743593542481308,222.708,190.021,1.1720178296083066,1.1720178296083066
job-15a,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,94.646,94.646,1.0,1.0
job-15b,1.0612625203820172,1.1943658348340622,1.0,1.0612625203820172,1.1943658348340622,1.0,3,3,1,candidate-05,1.1728208992715397,9.285,7.774,1.1943658348340622,1.1943658348340622
job-15c,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,386.301,386.301,1.0,1.0
job-15d,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,default,1.0,250.959,250.959,1.0,1.0
job-16a,1.0,1.0,1.0494018608772708,1.0,1.0,1.0,3,3,0,default,1.0,82.793,82.793,1.0,1.0
job-16b,1.0,2.348691085107216,1.020601029663406,1.0,2.348691085107216,1.0,3,3,1,candidate-01,2.293199183993872,5819.265,2477.663,2.348691085107216,2.348691085107216
job-16c,1.0087479063260054,1.0,1.0,1.0087479063260054,1.0,1.12538621037087,3,3,2,candidate-01,1.156651650558162,520.499,462.507,1.12538621037087,1.12538621037087
job-16d,1.0041168121962911,1.0,1.0000487286464108,1.0,1.0,1.0,3,3,0,default,1.0,430.943,430.943,1.0,1.0
job-17a,0.9393034986782771,1.0,1.001979433029531,2.1652873417391727,1.0,1.0,3,3,0,candidate-05,2.1532070384764306,3823.027,1765.598,2.1652873417391727,2.1652873417391727
job-17b,15.365120681495506,0.9865149357136518,1.723178788598141,15.365120681495506,0.9865149357136518,1.723178788598141,3,3,0,candidate-04,16.523234957296797,2272.655,147.91,15.365120681495506,15.365120681495506
job-17c,1.801980749844913,1.085481495340306,1.0,1.801980749844913,1.085481495340306,1.0,3,3,0,candidate-02,1.8608045983229227,2230.881,1238.016,1.801980749844913,1.801980749844913
job-17d,1.6945962544288846,1.0,1.0087068938732484,1.6945962544288846,1.0,1.0,3,3,0,candidate-04,1.494743391285253,2510.968,1481.75,1.6945962544288846,1.6945962544288846
job-17e,2.5518637420442527,1.0,1.0,2.5518637420442527,2.1231335281910484,1.0,3,3,0,candidate-01,2.6607192042631174,3729.605,1461.522,2.5518637420442527,2.5518637420442527
job-17f,2.5279537954587834,0.9041446532572665,1.1932481724821689,2.5279537954587834,0.9041446532572665,1.1932481724821689,3,3,0,candidate-02,2.7327851209412715,3158.428,1249.401,2.5279537954587834,2.5279537954587834
job-18a,6.91095405578782,7.737851929092804,1.0,6.91095405578782,7.737851929092804,1.0,3,3,1,candidate-01,9.65808881464906,1224.399,158.235,7.737851929092804,7.737851929092804
job-18b,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,59.082,59.082,1.0,1.0
job-18c,1.0,1.1483476912106392,1.0,1.0,1.1483476912106392,1.0,3,3,1,candidate-01,1.3835219619039518,1452.576,1264.927,1.1483476912106392,1.1483476912106392
job-19a,1.0,1.0,1.0,1.0,1.0,1.0,2,1,0,default,1.0,101.233,101.233,1.0,1.0
job-19b,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,default,1.0,49.168,49.168,1.0,1.0
job-19c,1.0,1.1729208119934096,2.596024010173551,1.1009549389643585,1.1729208119934096,2.596024010173551,3,3,2,candidate-05,2.6249646519519567,700.197,269.719,2.596024010173551,2.596024010173551
job-19d,1.0888486293855058,1.352200472817984,1.0,1.0888486293855058,1.352200472817984,1.0,3,3,1,candidate-04,1.3286409349822306,2155.774,1594.271,1.352200472817984,1.352200472817984
job-20a,7.173186284563608,1.760873144396144,7.404947750442252,7.173186284563608,1.760873144396144,7.404947750442252,3,3,0,candidate-02,7.284855056346383,769.439,107.266,7.173186284563608,7.404947750442252
job-20b,1.0,1.1192210016055666,1.0,1.0,1.1192210016055666,1.0,2,1,1,candidate-05,1.1371585272382825,618.317,552.453,1.1192210016055666,1.1192210016055666
job-20c,2.0915176009327556,2.0195177693977833,1.0255712041776812,2.0915176009327556,2.0195177693977833,1.0,3,3,0,candidate-03,2.2649611912872802,346.211,165.531,2.0915176009327556,2.0915176009327556
